"tg","N","prob","w1","w2","w3"
"a and m",8,3.42384407814068e-06,"a","and","m"
"a at the",6,2.56788305860551e-06,"a","at","the"
"a bad day",7,2.9958635683731e-06,"a","bad","day"
"a bad idea",9,3.85182458790827e-06,"a","bad","idea"
"a bad thing",14,5.99172713674619e-06,"a","bad","thing"
"a bag of",18,7.70364917581653e-06,"a","bag","of"
"a baking sheet",5,2.13990254883793e-06,"a","baking","sheet"
"a balance between",5,2.13990254883793e-06,"a","balance","between"
"a band of",5,2.13990254883793e-06,"a","band","of"
"a batch of",8,3.42384407814068e-06,"a","batch","of"
"a batting average",5,2.13990254883793e-06,"a","batting","average"
"a beautiful day",21,8.98759070511929e-06,"a","beautiful","day"
"a bed of",5,2.13990254883793e-06,"a","bed","of"
"a best friend",6,2.56788305860551e-06,"a","best","friend"
"a better chance",7,2.9958635683731e-06,"a","better","chance"
"a better day",5,2.13990254883793e-06,"a","better","day"
"a better job",8,3.42384407814068e-06,"a","better","job"
"a better life",6,2.56788305860551e-06,"a","better","life"
"a better person",5,2.13990254883793e-06,"a","better","person"
"a better place",13,5.56374662697861e-06,"a","better","place"
"a better way",7,2.9958635683731e-06,"a","better","way"
"a big deal",16,6.84768815628136e-06,"a","big","deal"
"a big difference",6,2.56788305860551e-06,"a","big","difference"
"a big fan",19,8.13162968558412e-06,"a","big","fan"
"a big part",14,5.99172713674619e-06,"a","big","part"
"a big thanks",7,2.9958635683731e-06,"a","big","thanks"
"a big way",7,2.9958635683731e-06,"a","big","way"
"a big year",5,2.13990254883793e-06,"a","big","year"
"a bill that",8,3.42384407814068e-06,"a","bill","that"
"a bill to",7,2.9958635683731e-06,"a","bill","to"
"a billion dollars",5,2.13990254883793e-06,"a","billion","dollars"
"a bit and",11,4.70778560744344e-06,"a","bit","and"
"a bit better",7,2.9958635683731e-06,"a","bit","better"
"a bit but",7,2.9958635683731e-06,"a","bit","but"
"a bit for",5,2.13990254883793e-06,"a","bit","for"
"a bit i",10,4.27980509767585e-06,"a","bit","i"
"a bit in",7,2.9958635683731e-06,"a","bit","in"
"a bit like",9,3.85182458790827e-06,"a","bit","like"
"a bit more",37,1.58352788614007e-05,"a","bit","more"
"a bit of",107,4.57939145451316e-05,"a","bit","of"
"a bit on",5,2.13990254883793e-06,"a","bit","on"
"a bit over",5,2.13990254883793e-06,"a","bit","over"
"a bit to",8,3.42384407814068e-06,"a","bit","to"
"a bit too",16,6.84768815628136e-06,"a","bit","too"
"a blast at",5,2.13990254883793e-06,"a","blast","at"
"a blast the",5,2.13990254883793e-06,"a","blast","the"
"a blessed day",7,2.9958635683731e-06,"a","blessed","day"
"a blog post",7,2.9958635683731e-06,"a","blog","post"
"a body of",5,2.13990254883793e-06,"a","body","of"
"a book about",9,3.85182458790827e-06,"a","book","about"
"a book and",9,3.85182458790827e-06,"a","book","and"
"a book i",6,2.56788305860551e-06,"a","book","i"
"a book on",8,3.42384407814068e-06,"a","book","on"
"a book that",9,3.85182458790827e-06,"a","book","that"
"a bottle of",26,1.11274932539572e-05,"a","bottle","of"
"a bowl of",9,3.85182458790827e-06,"a","bowl","of"
"a box of",12,5.13576611721102e-06,"a","box","of"
"a brand new",17,7.27566866604895e-06,"a","brand","new"
"a break for",5,2.13990254883793e-06,"a","break","for"
"a break from",23,9.84355172465446e-06,"a","break","from"
"a built in",6,2.56788305860551e-06,"a","built","in"
"a bunch of",73,3.12425772130337e-05,"a","bunch","of"
"a busy day",5,2.13990254883793e-06,"a","busy","day"
"a busy week",5,2.13990254883793e-06,"a","busy","week"
"a busy weekend",5,2.13990254883793e-06,"a","busy","weekend"
"a call from",12,5.13576611721102e-06,"a","call","from"
"a call to",10,4.27980509767585e-06,"a","call","to"
"a can of",6,2.56788305860551e-06,"a","can","of"
"a car accident",6,2.56788305860551e-06,"a","car","accident"
"a car and",6,2.56788305860551e-06,"a","car","and"
"a career high",14,5.99172713674619e-06,"a","career","high"
"a career in",6,2.56788305860551e-06,"a","career","in"
"a case of",20,8.5596101953517e-06,"a","case","of"
"a case study",5,2.13990254883793e-06,"a","case","study"
"a celebration of",7,2.9958635683731e-06,"a","celebration","of"
"a cell phone",7,2.9958635683731e-06,"a","cell","phone"
"a certain age",6,2.56788305860551e-06,"a","certain","age"
"a certain way",5,2.13990254883793e-06,"a","certain","way"
"a challenge to",6,2.56788305860551e-06,"a","challenge","to"
"a chance for",5,2.13990254883793e-06,"a","chance","for"
"a chance i",5,2.13990254883793e-06,"a","chance","i"
"a chance to",96,4.10861289376882e-05,"a","chance","to"
"a change in",17,7.27566866604895e-06,"a","change","in"
"a charge of",8,3.42384407814068e-06,"a","charge","of"
"a child and",7,2.9958635683731e-06,"a","child","and"
"a child i",6,2.56788305860551e-06,"a","child","i"
"a child in",6,2.56788305860551e-06,"a","child","in"
"a choice of",5,2.13990254883793e-06,"a","choice","of"
"a chunk of",8,3.42384407814068e-06,"a","chunk","of"
"a city that",5,2.13990254883793e-06,"a","city","that"
"a city where",6,2.56788305860551e-06,"a","city","where"
"a close up",6,2.56788305860551e-06,"a","close","up"
"a closer look",5,2.13990254883793e-06,"a","closer","look"
"a co worker",5,2.13990254883793e-06,"a","co","worker"
"a coalition of",5,2.13990254883793e-06,"a","coalition","of"
"a collection of",15,6.41970764651378e-06,"a","collection","of"
"a college degree",5,2.13990254883793e-06,"a","college","degree"
